fare_id,route_id,origin_id,destination_id,contains_id
1,11639,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,11641,,,
1,11642,,,
1,1005,,,
1,1055,,,
1,11644,,,
1,1071,,,
1,1072,,,
1,11646,,,
1,1110,,,
1,1108,,,
1,1109,,,
1,1900,,,
1,1901,,,
1,11649,,,
1,11650,,,
1,11651,,,
1,11652,,,
1,11653,,,
1,11654,,,
1,11655,,,
1,11656,,,
1,11657,,,
1,11658,,,
1,11659,,,
1,11660,,,
1,11661,,,
1,11662,,,
1,11663,,,
1,11664,,,
1,11665,,,
1,11666,,,
1,11667,,,
1,11668,,,
1,11669,,,
1,11670,,,
1,11671,,,
1,11672,,,
1,11673,,,
1,11674,,,
1,11675,,,
1,11676,,,
1,11677,,,
1,11678,,,
1,11679,,,
1,11680,,,
1,11681,,,
1,11682,,,
1,11683,,,
1,11684,,,
1,11685,,,
1,11686,,,
2,1059,,,
2,1060,,,
2,11689,,,
1,11690,,,
1,11691,,,
1,11692,,,
1,1081,,,
1,1082,,,
1,11694,,,
1,11695,,,
1,11696,,,
1,11697,,,
1,1102,,,
1,1103,,,
1,1104,,,
1,1105,,,
1,1106,,,
1,11699,,,
1,11700,,,
1,11705,,,
1,11706,,,
1,11707,,,
1,11708,,,
1,11709,,,
1,11710,,,
